"Run","Assay Type","AvgSpotLen","Bases","BioProject","BioSample","BioSampleModel","Bytes","Center Name","Consent","Cultivar","DATASTORE filetype","DATASTORE provider","DATASTORE region","dev_stage","Experiment","geo_loc_name_country","geo_loc_name_country_continent","geo_loc_name","Instrument","Library Name","LibraryLayout","LibrarySelection","LibrarySource","Number","Organism","Platform","ReleaseDate","Sample Name","SRA Study","tissue"
"SRR5891627","WGS",300,5559696600,"PRJNA393611","SAMN07341654","Plant",2090908609,"YUNNAN AGRICULTURAL UNIVERSITY","public","Catawba (4N)","fastq,sra","gs,s3","gs.US,s3.us-east-1","not applicable","SRX3057649","USA","North America","USA","Illumina HiSeq 4000","TA-364","PAIRED","RANDOM","GENOMIC",10451,"Vitis","ILLUMINA","2019-03-22T00:00:00Z","TA-364","SRP114740","leaf"
"SRR5891628","WGS",300,10197120600,"PRJNA393611","SAMN07341655","Plant",3956448143,"YUNNAN AGRICULTURAL UNIVERSITY","public","Centennial Seedless","sra,fastq","gs,s3","gs.US,s3.us-east-1","not applicable","SRX3057648","USA","North America","USA","Illumina HiSeq 4000","TA-286","PAIRED","RANDOM","GENOMIC",10452,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-286","SRP114740","leaf"
"SRR5891629","WGS",300,6361289700,"PRJNA393611","SAMN07341656","Plant",2163689822,"YUNNAN AGRICULTURAL UNIVERSITY","public","Christmas Rose","sra,fastq","gs,s3","gs.US,s3.us-east-1","not applicable","SRX3057647","USA","North America","USA","Illumina HiSeq 4000","TA-10","PAIRED","RANDOM","GENOMIC",10453,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-10","SRP114740","leaf"
"SRR5891630","WGS",300,7400088000,"PRJNA393611","SAMN07341657","Plant",2616673231,"YUNNAN AGRICULTURAL UNIVERSITY","public","Crimson Seedless","fastq,sra","gs,s3","gs.US,s3.us-east-1","not applicable","SRX3057646","USA","North America","USA","Illumina HiSeq 4000","TA-116","PAIRED","RANDOM","GENOMIC",10454,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-116","SRP114740","leaf"
"SRR5891631","WGS",300,7146419400,"PRJNA393611","SAMN07341658","Plant",2611856747,"YUNNAN AGRICULTURAL UNIVERSITY","public","Taylorrebe","sra,fastq","s3,gs","s3.us-east-1,gs.US","not applicable","SRX3057645","USA","North America","USA","Illumina HiSeq 4000","TA-5902","PAIRED","RANDOM","GENOMIC",10455,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-5902","SRP114740","leaf"
"SRR5891632","WGS",300,8299573800,"PRJNA393611","SAMN07341659","Plant",3020929898,"YUNNAN AGRICULTURAL UNIVERSITY","public","Dawn Seedless","sra,fastq","s3,gs","gs.US,s3.us-east-1","not applicable","SRX3057644","USA","North America","USA","Illumina HiSeq 4000","TA-26","PAIRED","RANDOM","GENOMIC",10456,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-26","SRP114740","leaf"
"SRR5891633","WGS",300,5728577400,"PRJNA393611","SAMN07341660","Plant",2195204130,"YUNNAN AGRICULTURAL UNIVERSITY","public","Emperor","sra,fastq","s3,gs","s3.us-east-1,gs.US","not applicable","SRX3057643","USA","North America","USA","Illumina HiSeq 4000","TA-293","PAIRED","RANDOM","GENOMIC",10457,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-293","SRP114740","leaf"
"SRR5891634","WGS",300,8116493700,"PRJNA393611","SAMN07341661","Plant",3094460799,"YUNNAN AGRICULTURAL UNIVERSITY","public","Exotic","sra,fastq","s3,gs","gs.US,s3.us-east-1","not applicable","SRX3057642","USA","North America","USA","Illumina HiSeq 4000","TA-289","PAIRED","RANDOM","GENOMIC",10458,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-289","SRP114740","leaf"
"SRR5891635","WGS",300,7837475400,"PRJNA393611","SAMN07341583","Plant",2956639507,"YUNNAN AGRICULTURAL UNIVERSITY","public","Cubupbkabbiu","fastq,sra","gs,s3","gs.US,s3.us-east-1","not applicable","SRX3057641","uncalculated","uncalculated","not collected","Illumina HiSeq 4000","TA-247","PAIRED","RANDOM","GENOMIC",10380,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-247","SRP114740","leaf"
"SRR5891636","WGS",300,7154928000,"PRJNA393611","SAMN07341582","Plant",2652651910,"YUNNAN AGRICULTURAL UNIVERSITY","public","Cannero","fastq,sra","s3,gs","gs.US,s3.us-east-1","not applicable","SRX3057640","uncalculated","uncalculated","not collected","Illumina HiSeq 4000","TA-16","PAIRED","RANDOM","GENOMIC",10379,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-16","SRP114740","leaf"
