sample	unit	platform	fq1	fq2
SRR5891620	TA-398	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891620_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891620_1.fastq.gzTA-398_2.fastq.gz
SRR5891621	Z29	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891621_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891621_1.fastq.gzZ29_2.fastq.gz
SRR5891622	TA-422	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891622_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891622_1.fastq.gzTA-422_2.fastq.gz
SRR5891623	TA-164	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891623_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891623_1.fastq.gzTA-164_2.fastq.gz
SRR5891624	TA-194	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891624_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891624_1.fastq.gzTA-194_2.fastq.gz
SRR5891625	TA-119	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891625_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891625_1.fastq.gzTA-119_2.fastq.gz
SRR5891626	TA-365	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891626_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891626_1.fastq.gzTA-365_2.fastq.gz
SRR5891627	TA-364	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891627_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891627_1.fastq.gzTA-364_2.fastq.gz
SRR5891628	TA-286	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891628_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891628_1.fastq.gzTA-286_2.fastq.gz
SRR5891629	TA-10	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891629_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891629_1.fastq.gzTA-10_2.fastq.gz
SRR5891630	TA-116	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891630_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891630_1.fastq.gzTA-116_2.fastq.gz
SRR5891631	TA-5902	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891631_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891631_1.fastq.gzTA-5902_2.fastq.gz
